,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,,g,g,g,g,g,bp;bp6.1;r;8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,g,g,,g,g,g,g,g,bp;bp6.2;r;8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,g,g,g,bp;bp6.3;r;8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,g,g,g,bp;bp6.4;r;8,,,,,,,,,g,g,g,g
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,bp;bp6.5;r;8,,,,,,,,,g,g,g,g
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,,fp,,fp,,g,g,g,bp;bp6.6;r;8,,,,,,,,,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,g,g,g,,,,,,g,g,g,,,,,,,,,,,,,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,,,g,g,g,g,g,g,g,g,,,,,,g,g,g,bp;bp6.7;r;8,,,,,,,,,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,g,g,g,,,,,,g,g,g,,,,,,,,,,,,,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,,,,bp;bp4;d;3,,,,,g,g,g,g,g,g,g,g,,,,,,g,g,g,bp;bp6.8;r;8,,,,,,,,,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,g,g,g,,,,,,g,g,g,,,g,,,g,,,g,,,,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,bp;bp3;d;2;b1,,,,,,,,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,g,g,g,,,g,,,g,g,g,,,,,,,,,g,,,,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,g,g,g,g,,,,,,,,,,,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,
